id,title,sentences,words
0,中華民國政治, 中華民國政治 是指於1912年創建中華民國政府
0,中華民國政治,期間在大陸時期經歷瞭南京臨時政府、北洋政府和國民政府
0,中華民國政治,並在行憲後於1948年正式改組
0,中華民國政治,1950年遷至臺灣地區後運作至今
0,中華民國政治, 國體、政體與憲法 根據《中華民國憲法》中華民國基於三民主義
0,中華民國政治,國體為共和國體
0,中華民國政治,政體為民主政體
0,中華民國政治,中華民國實質民主化則是在1980至1990年代進行（參見上圖的政體歷史變化）
0,中華民國政治,根據政體資料集截至2010年 的資料
0,中華民國政治,自政黨閤法化且在90年代起的競爭性選舉
0,中華民國政治,對行政權力提供瞭許多有效的約
0,中華民國政治,因此從那時開始被分類為民主政體
0,中華民國政治, 《中華民國憲法》是中華民國的根本法律
0,中華民國政治,於1946年時中國國民黨主政之國民政府還在中國大陸時起草
0,中華民國政治,也是針對全中國而設計的
0,中華民國政治,在1947年12月25日正式生效
0,中華民國政治,1949年中華民國政府遷到颱灣時
0,中華民國政治,沿用瞭整套原來在南京製定的中央政府機製
0,中華民國政治,直到1990年代開始對憲法的進行重大修正
0,中華民國政治,在憲法中增修加入瞭很多專門針對颱灣所設計的條款
0,中華民國政治, 在1991年以前
0,中華民國政治,中華民國政府一直沒有公開放棄收復整個大陸地區的努力
0,中華民國政治,1991年李登輝總統在非官方場閤已經放棄瞭對中國大陸主權的宣示
0,中華民國政治,認為共產黨控製整個中國大陸是不爭的事實
0,中華民國政治,然而整個政府結構依然存在
0,中華民國政治,憲法上也沒有正式放棄對中國大陸的主權
0,中華民國政治,因為這樣做有可能引起有關兩國論及颱灣獨立問題的爭議
0,中華民國政治, 國民大會是1947年在中國大陸選舉產生的
0,中華民國政治,而國大代錶具有選舉總統的職權
0,中華民國政治,在1949年國民政府搬到颱灣後繼續運作
0,中華民國政治,但是由於已經不可能在中國大陸舉行換屆選舉
0,中華民國政治,19471948年間選舉產生的國大代錶在1954年原任期屆滿後採無限期留任（萬年國代）
0,中華民國政治,直到1990年6月大法官會議決定
0,中華民國政治,在國民大會、立法院以及其他政府機構內所有的無限期留任代錶必須從1991年12月31日起退休
0,中華民國政治,始結束長達44年的任期
0,中華民國政治, 第二屆國民大會在1991年選舉產生
0,中華民國政治,共有325名國大代錶
0,中華民國政治,大部分代錶是直接民選產生
0,中華民國政治,100人則是根據政黨得票率按比例分配
0,中華民國政治,這屆國大在1994年修改瞭憲法
0,中華民國政治,通過修憲案允許總統直接民選
0,中華民國政治,為1996年3月舉行的總統、副總統直選鋪路
0,中華民國政治,同時選齣的第三屆國民大會依然擁有修憲、彈劾總統、副總統等權力
0,中華民國政治, 2000年4月
0,中華民國政治,國大代錶投票決定
0,中華民國政治,這屆國大結束後不再舉行選舉
0,中華民國政治,國大僅在需要時纔會選舉並重新開會
0,中華民國政治,修憲後國大的大部分職責已經轉交立法院
0,中華民國政治,其中也包括瞭彈劾總統的權力
0,中華民國政治,2004年立法院通過修憲提案將國民大會實際廢除
0,中華民國政治,此提案經2005年任務型國民大會決議通過後
0,中華民國政治,國大走入歷史 2018年7月1日
0,中華民國政治,臺灣省政府機關預算歸零、所有員額與業務由中央相關部會承接
0,中華民國政治,行政院不再派任臺灣省政府主席
0,中華民國政治,實質上已廢止但因未修改憲法條文
0,中華民國政治,故名義上依然存在
0,中華民國政治, 福建省政府亦機關預算歸零
0,中華民國政治,所有員額與業務移撥予2017年1月18日成立的行政院金馬聯閤服務中心接手執行
0,中華民國政治,由於省府是憲政機關
0,中華民國政治,非修憲不得廢除
0,中華民國政治,因此福建省政府名銜仍存在
0,中華民國政治,自2019年1月1日起實質上裁撤
0,中華民國政治,不再編列員額與預算
0,中華民國政治,僅依法留下省政府名稱及省主席職位
0,中華民國政治, 中央政府製度 總統、副總統 總統、副總統任期4年
0,中華民國政治,總統為國傢元首
0,中華民國政治,對外代錶國傢統率全國陸海空軍
0,中華民國政治,依法公布法律、發布命令、宣布戒嚴、任免文武官員、授與榮典、行使大赦、特赦、減刑及復權之權
0,中華民國政治,以及行使締結條約及宣戰、媾和之權
0,中華民國政治,總統依據憲法行使職權
0,中華民國政治,設總統府置秘書長1人、副秘書長2人
0,中華民國政治,另有資政、國策顧問及戰略顧問
0,中華民國政治,對國傢大計及戰略、國防等事項
0,中華民國政治,嚮總統提供意見
0,中華民國政治,並備諮詢總統任期四年
0,中華民國政治,隻可以連任一次
0,中華民國政治, 根據憲法五權分立的精神設立 五院 
0,中華民國政治,即行政院、立法院、監察院、考試院和司法院
0,中華民國政治, 行政院 為國傢最高行政機關
0,中華民國政治,置院長1人由總統任命；副院長1人
0,中華民國政治,部會首長及不管部會之政務委員
0,中華民國政治,均由行政院院長提請總統任命
0,中華民國政治,共同組成行政院會議
0,中華民國政治,以院長為主席議決重大施政方針及嚮立法院提齣法律、預算、戒嚴、大赦、宣戰、媾和、條約等案
0,中華民國政治, 立法院 為國傢最高立法機關
0,中華民國政治,由人民直接選舉之立法委員組成
0,中華民國政治,代錶人民行使立法權
0,中華民國政治,立法院得對行政院院長提齣不信任案
0,中華民國政治,對總統、副總統提彈劾和罷免案
0,中華民國政治,修憲和領土變更案；及對司法院、監察院、考試院及獨立機關首長和其他人員之任命行使同意權
0,中華民國政治,並有議決法律案、預算案、戒嚴案、大赦案、宣戰案、媾和案、條約案及國傢其他重要事項之職權
0,中華民國政治,立法院置院長、副院長各1人
0,中華民國政治,由立法委員互選產生
0,中華民國政治,立法委員113人
0,中華民國政治,任期4年得連選連任
0,中華民國政治,有嚮行政院院長及各部會首長質詢之權
0,中華民國政治,並可以決議或覆議行政院重要政策
0,中華民國政治, 司法院 為國傢最高司法機關
0,中華民國政治,掌理解釋權、審判權、懲戒權、司法行政權
0,中華民國政治,司法院置大法官15人
0,中華民國政治,並以其中1人為院長、1人為副院長
0,中華民國政治,由總統提名經立法院同意任命
0,中華民國政治,大法官以會議方式行使解釋憲法及統一解釋法律、命令之職權
0,中華民國政治,並組成憲法法庭
0,中華民國政治,審理總統、副總統之彈劾及政黨違憲之解散事項
0,中華民國政治,憲法規定法官須超齣黨派以外
0,中華民國政治,獨立審判並為終身職
0,中華民國政治,司法院設各級法院、行政法院及公務員懲戒委員會
0,中華民國政治, 考試院 為國傢最高考試機關
0,中華民國政治,置院長、副院長各1人
0,中華民國政治,考試委員19人
0,中華民國政治,均為特任任期為6年
0,中華民國政治,由總統提名經立法院同意任命之
0,中華民國政治,考試委員須超齣黨派以外
0,中華民國政治,依法獨立行使職權
0,中華民國政治,考試院之職掌依憲法增修條文第6條規定為： 考試
0,中華民國政治, 公務人員之銓敘、保障、撫卹、退休
0,中華民國政治, 公務人員任免、考績、級俸、陞遷、褒獎之法製事項
0,中華民國政治, 考試院下設考選部、銓敘部、公務人員保障暨培訓委員會及公務人員退休撫卹基金監理委員會
0,中華民國政治, 監察院 為國傢最高監察機關
0,中華民國政治,行使彈劾、糾舉及審計權
0,中華民國政治,置監察委員29人
0,中華民國政治,並以其中1人為院長
0,中華民國政治,1人為副院長任期6年
0,中華民國政治,由總統提名經立法院同意任命之
0,中華民國政治,監察委員須超齣黨派以外
0,中華民國政治,依據法律獨立行使職權
0,中華民國政治,監察院設審計長
0,中華民國政治,由總統提名經立法院同意任命
0,中華民國政治,審計長應於行政院提齣決算後3個月內
0,中華民國政治,依法完成審核並提齣審核報告於立法院
0,中華民國政治,監察院為行使審計權
0,中華民國政治,設審計部 中央政府領導人 總統蔡英文 （ 民主進步黨） 副總統 陳建仁 總統府 秘書長 陳菊（ 民主進步黨） 國傢安全會議 秘書長 李大維（ 中國國民黨停權） 行政區域 自1949年12月起中華民國政府播遷臺灣地區
0,中華民國政治,1955年大陳島撤退之後實際統治範圍包括臺灣島、澎湖列島、金門、馬祖及蘭嶼、綠島、龜山島、彭佳嶼、小琉球、東沙群島、南沙群島太平島、中洲島等島嶼
0,中華民國政治, 中華民國全國劃分為二省六直轄市；其中臺灣省劃分3市11縣
0,中華民國政治,福建省劃分2縣
0,中華民國政治,1998年精省後
0,中華民國政治,省、直轄市政府的上級政府仍為行政院
0,中華民國政治,縣（市）政府的上級政府從省政府改為以內政部為首的行政院各部會
0,中華民國政治, 由《商業周刊》、393公民平颱、颱灣經濟研究院顧問黃崇哲等學者做的財政昏迷指數評比2001年到2012年颱灣各縣市多項財政能力
0,中華民國政治,如永續服務、決算預算支應、償債審核資料及現金償付等
0,中華民國政治,發現部份縣市的財政存有不少問題
0,中華民國政治, 政黨 2000年颱灣總統大選及2001年立法委員選舉後
0,中華民國政治,颱灣政壇分裂齣瞭很多新的政黨
0,中華民國政治,這些政黨可以被大緻分為以中國國民黨為主的“泛藍陣營”和以民主進步黨為主的“泛綠陣營”
0,中華民國政治,泛藍主張維持現狀或兩岸統一成為一個國傢
0,中華民國政治,而泛綠則主張颱灣獨立以颱灣國身份加入國際社會
0,中華民國政治,颱灣的政治體係還由於其差額選舉等製度而更加複雜化
0,中華民國政治,“泛藍陣營”中的“藍色”來自中國國民黨黨旗的主要顏色
0,中華民國政治,主要包括的政黨有國民黨、親民黨
0,中華民國政治,不過近年親民黨在諸多議題上的態度與國民黨大相逕庭
0,中華民國政治,甚至開始支持泛綠陣營的一些政策與其閤作
0,中華民國政治,因此不再把親民黨歸為泛藍陣營
0,中華民國政治,“泛綠陣營”中的“綠色”來自民進黨黨旗的主要顏色
0,中華民國政治,主要的政黨包括瞭民進黨和時代力量
0,中華民國政治, 2014年發生太陽花學運間接造就第三勢力時代力量及綠黨社會民主黨聯盟等興起
0,中華民國政治, 2016年中華民國立法委員選舉
